,0,1
2915,-83.276888,35.292516
2778,-83.27686,34.644488
2916,-83.276694,35.291912
2917,-83.276692,35.291906
2918,-83.276353,35.290849
2779,-83.276249,34.644116
2919,-83.275774,35.289082
2920,-83.275224,35.288706
2921,-83.274674,35.288416
2780,-83.2742,34.642868
2880,-83.273958,35.253207
2781,-83.273194,34.642379
2922,-83.272879,35.288532
2782,-83.271883,34.641856
2783,-83.271543,34.641765
2923,-83.270852,35.289314
2879,-83.270386,35.248675
2878,-83.270193,35.246981
2877,-83.270026,35.246523
2784,-83.269962,34.64134
2785,-83.269503,34.641217
2876,-83.26866,35.24485
2875,-83.267964,35.244163
2924,-83.267927,35.290617
2786,-83.267258,34.640971
2874,-83.267183,35.243567
2947,-83.264677,35.328303
2925,-83.264105,35.29302
2926,-83.263655,35.293513
2948,-83.263653,35.330862
2927,-83.263627,35.293513
2928,-83.262253,35.295251
2946,-83.261968,35.327013
2945,-83.261964,35.327011
2929,-83.260919,35.297271
2949,-83.260209,35.330901
2950,-83.2602,35.330901
2873,-83.259962,35.238617
2939,-83.259344,35.317716
2941,-83.259335,35.323696
2944,-83.259296,35.325741
2940,-83.259258,35.322932
2943,-83.25922,35.325607
2942,-83.259182,35.324824
2938,-83.258738,35.315171
2930,-83.257606,35.302362
2872,-83.257229,35.237355
2937,-83.256941,35.310214
2936,-83.256879,35.310201
2951,-83.256779,35.330939
2934,-83.256445,35.308783
2935,-83.256394,35.308867
2931,-83.256354,35.304827
2933,-83.256152,35.3081
2932,-83.25599,35.306241
2871,-83.255472,35.236896
2952,-83.254607,35.332908
2953,-83.253978,35.333013
2870,-83.253463,35.236711
2954,-83.253453,35.332068
2869,-83.253017,35.236688
2955,-83.252824,35.331386
2956,-83.25125,35.332068
2957,-83.250253,35.334796
2868,-83.249158,35.238366
2958,-83.248942,35.335898
2867,-83.248238,35.239053
2960,-83.247794,35.337426
2959,-83.247787,35.337367
2866,-83.247627,35.240382
2961,-83.246791,35.338521
